15281,58351,15079,545,214,86025,40997,23689,6333,25999,14397,8846,13826,30417,31012,294637,1599,3505,7091,5052,27226,22492,9368,7953,5939,46426,233124,45518,5103,1600,21134,7983,93677,22773,9681
408,13188,20576,528,91,16468,14071,468,3,17,38,0,334,2875,7,65293,0,11037,146,19,831,6022,826,74,1055,1,13054,0,73,2,953,56,51,11,99
9834,6462,0,0,13,194,248,306,3114,372,281,3501,1844,19,11842,6384,218,4,4405,2359,158,99,1150,6,21,1575,64,84,0,0,82984,4682,1167,7867,3462
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33259,29051,15668,1170,16255,5368,18833,94,85,3,2241,0,1613,3694,1259,37764,0,88,312,15,944,111,1306,70,870,271,6148,0,52,0,6021,0,175,18,50
11512,2524,0,3690,27,4481,167,1462,24224,2431,7433,19875,363,1343,398,526,35625,559,8724,23793,2688,2216,2913,3265,519,48510,32211,43657,2156,2855,9546,3675,20666,4800,4475
5,376,0,109,0,357,0,70,124,378,16,0,73,41,26,4,0,12181,147,3,388,23852,172,37,34,0,1111,4,0,544,6,2241,0,3862,1
12439,22697,4597,53553,58530,40125,4754,13557,3235,5199,4265,7216,21232,2220,584,2460,5246,3045,4148,12496,10936,121362,2688,3809,13492,2785,160027,73391,4579,2689,4071,351,32016,1555,1290
0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1609,0,0,90,0,76,0,0,0,0,0,0,30,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,13376,0,0,0,0
0,4804,0,0,0,27,0,0,3092,69,0,0,60,0,0,2,0,1312,25,0,764,0,0,479,0,0,6,0,0,380,9420,5,0,2890,0
23,74,0,35,0,75,0,0,9,0,2478,3076,0,292,4,52,23,15,233,0,136,0,116,0,0,6677,137,0,0,13,1908,150,0,2594,79
0,0,0,0,0,0,0,0,91,0,0,0,0,0,17,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,67,0
6323,1,320,0,0,64,373,0,0,0,0,0,0,0,1,0,0,35,0,0,243,0,4,0,0,0,0,0,0,0,1570,0,0,0,0
26308,8781,5197,47332,73362,47239,28938,9707,263,3071,7351,273,8052,3028,2990,283,502,1144,4233,1596,9312,103600,6528,12910,3952,48369,172759,38334,615,4235,3141,664,46443,2206,17605
0,49,0,0,0,7,0,0,4276,0,0,0,86,0,72,0,0,1623,0,0,40,0,0,1,0,0,0,0,0,0,4,135,0,1731,0
2,2707,0,1480,0,114,0,0,284,881,323,1191,0,492,0,185,16,1873,144,83,1222,0,82,560,0,17105,1677,942,59,27189,21378,124,2,1150,0
39,0,0,0,0,1,0,0,7,3,133,1124,0,0,3,19,419,0,881,33,2,0,358,0,0,3,0,0,0,0,254,1453,0,20,346
6985,2,0,0,0,0,0,0,0,0,1,0,0,0,8,251,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11464,0,0,1,408,0,0,0,0,0,0,0,0,0,107,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,4925,1,24899,132,13987,20,7,1632,3533,500,620,522,126,260,142,611,4381,210,5607,1491,11893,1890,900,410,578,90043,26615,2348,4962,4152,306,3996,5855,0
10439,77,0,1,189,278,115,27,172,130,895,688,191,1,97,8926,2032,12,821,402,65,1295,487,6,48,326,895,168,0,0,626,212,82,129,40
16029,11923,10732,6332,52032,10936,3237,492,0,15,2256,0,162,2505,25,15,0,4661,51,2,415,5451,501,301,4512,2,14343,5,2569,10943,43,20,18942,6,3542
781,5036,0,42781,694,2238,121,94,408,1577,2001,2605,544,149,61,213,3238,621,1164,2176,1394,18673,5283,264,547,2470,78176,26692,3889,600,1857,478,12579,6649,64
0,780,1,32,3,154,3,13,390,43,3,2,58,3,1480,3,0,514,4,0,73,2997,213,34,52,0,484,22,0,26,11,305,6,492,5
38430,239,7750,5956,51169,5715,47545,190,1,10,3291,0,163,1843,41,664,0,232,177,10,340,2579,381,63,2020,43097,936,3,26,10731,1808,0,27390,4,1001
