4217,24704,4843,2646,1366,1282,1282,9851,7501,6119,5112,3021,9563,518,82310,19192,8513,11132,189232,9401
421,12782,1149,24,4871,995,995,111,74,104,112,1119,3238,57,92,7590,353,3075,0,50
7486,9609,658,20,64,20,20,4613,72,2045,57,6,314,1702,4,4411,34,4,777717,354
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3828,707,2646,69,2279,1135,1135,9,9,17,1712,549,4920,4,50,4932,8841,2413,0,99
4258,652,683,2943,414,333,333,1968,5811,4705,768,943,4248,3514,3599,5184,628,1197,40966,312
81,179,968,7,62,44,44,117,43,545,0,28,288,89,19,469,57,928,12,5
5208,3173,2395,1525,1226,6189,6189,2294,3594,1665,281,2461,3316,1528,3620,11653,2331,2459,65,1712
0,125,525,0,28,0,0,0,0,0,0,1,0,0,5,10,0,10810,0,0
0,0,167,0,1,0,0,0,0,75,0,0,0,0,0,20,10,0,342102,2261
2404,13204,1634,125,96,36,36,660,0,271,62,5,891,1052,586,1562,40451,1368,27079,373
1751,7086,1140,527,308,0,0,50,5013,9448,21341,258,318,5661,1922,1793,1012,5,247,713
0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2828,6,1927,3864,1827,0,0,0,0,0,95953,0,21,0,0,1167,0,0,0,150
9646,25281,11983,15115,5924,31069,31069,18179,3509,6068,3440,12665,2425,5688,4600,13399,9504,3972,0,23671
5,10,364,0,8,1,1,0,0,0,0,0,9,145,0,311,14,4,28,0
3198,16569,3170,2036,1079,138,138,958,816,2081,876,516,3044,3736,4904,1548,15581,894,264069,6376
5788,15,159,0,4,0,0,1682,9606,6530,12,0,10,2038,2,419,71,0,6506,318
1,0,65,2,8,0,0,0,0,0,84,0,8,0,0,0,1,0,13,0
0,1,321,0,3,0,0,0,0,0,0,0,4,0,0,0,0,22,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1608,199,937,1690,1631,745,745,727,1261,1422,56,2540,3423,1986,4702,3617,775,730,6922,192
3580,41,347,75,92,84,84,2598,533,122,136,11,319,1906,13,216,30,40,2,978
468,413,2329,194,283,3346,3346,1132,1,79,273,984,147,214,24,2411,39,2614,0,1
13549,64,596,3509,15969,1718,1718,707,10119,2671,7368,2274,1476,15190,3808,3068,13613,368,33,1869
1092,19,1293,10,12,61,61,2081,6,22,0,9,62,19,26,122,2972,520,0,0
6593,6643,6026,7479,2239,2691,2691,19,0,81,138,22151,244,197,3,6865,28,317,0,541
