15281,58351,15079,545,214,86025,40997,23689,6333,25999,14397,8846,13826,30417,31012,294637,1599,3505,7091,5052
408,13188,20576,528,91,16468,14071,468,3,17,38,0,334,2875,7,65293,0,11037,146,19
9834,6462,0,0,13,194,248,306,3114,372,281,3501,1844,19,11842,6384,218,4,4405,2359
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33259,29051,15668,1170,16255,5368,18833,94,85,3,2241,0,1613,3694,1259,37764,0,88,312,15
11512,2524,0,3690,27,4481,167,1462,24224,2431,7433,19875,363,1343,398,526,35625,559,8724,23793
5,376,0,109,0,357,0,70,124,378,16,0,73,41,26,4,0,12181,147,3
12439,22697,4597,53553,58530,40125,4754,13557,3235,5199,4265,7216,21232,2220,584,2460,5246,3045,4148,12496
0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1609,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,4804,0,0,0,27,0,0,3092,69,0,0,60,0,0,2,0,1312,25,0
23,74,0,35,0,75,0,0,9,0,2478,3076,0,292,4,52,23,15,233,0
0,0,0,0,0,0,0,0,91,0,0,0,0,0,17,0,0,53,0,0
6323,1,320,0,0,64,373,0,0,0,0,0,0,0,1,0,0,35,0,0
26308,8781,5197,47332,73362,47239,28938,9707,263,3071,7351,273,8052,3028,2990,283,502,1144,4233,1596
0,49,0,0,0,7,0,0,4276,0,0,0,86,0,72,0,0,1623,0,0
2,2707,0,1480,0,114,0,0,284,881,323,1191,0,492,0,185,16,1873,144,83
39,0,0,0,0,1,0,0,7,3,133,1124,0,0,3,19,419,0,881,33
6985,2,0,0,0,0,0,0,0,0,1,0,0,0,8,251,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11464,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,4925,1,24899,132,13987,20,7,1632,3533,500,620,522,126,260,142,611,4381,210,5607
10439,77,0,1,189,278,115,27,172,130,895,688,191,1,97,8926,2032,12,821,402
16029,11923,10732,6332,52032,10936,3237,492,0,15,2256,0,162,2505,25,15,0,4661,51,2
781,5036,0,42781,694,2238,121,94,408,1577,2001,2605,544,149,61,213,3238,621,1164,2176
0,780,1,32,3,154,3,13,390,43,3,2,58,3,1480,3,0,514,4,0
38430,239,7750,5956,51169,5715,47545,190,1,10,3291,0,163,1843,41,664,0,232,177,10
